Date,Region,Product,Category,Segment,Units,Unit Price,Revenue
2025-04-22,East,Ember Skillet,Kitchen,Business,7,64.13,448.91
2025-03-22,North,Trail Backpack,Outdoor,Consumer,8,82.2,657.6
2025-02-02,East,Aurora Lamp,Home,Consumer,7,46.4,324.8
2025-05-02,East,Summit Tent,Outdoor,Enterprise,10,226.18,2261.8
2025-06-16,South,Aurora Lamp,Home,Business,8,49.52,396.16
2025-08-18,East,Aurora Lamp,Home,Consumer,7,44.78,313.46
2025-03-01,North,Vector Keyboard,Electronics,Consumer,4,77.88,311.52
2025-03-05,South,Ember Skillet,Kitchen,Business,5,55.41,277.05
2025-08-08,North,Trail Backpack,Outdoor,Enterprise,6,94.57,567.42
2025-08-18,North,Summit Tent,Outdoor,Enterprise,8,264.58,2116.64
2025-08-11,West,Aurora Lamp,Home,Consumer,3,46.99,140.97
2025-12-11,West,Summit Tent,Outdoor,Enterprise,2,234.33,468.66
2025-09-14,North,Aurora Lamp,Home,Enterprise,1,47.04,47.04
2025-04-26,North,Summit Tent,Outdoor,Enterprise,8,266.19,2129.52
2025-12-09,North,Trail Backpack,Outdoor,Business,14,97.22,1361.08
2025-01-28,North,Aurora Lamp,Home,Business,5,51.52,257.6
2025-01-04,North,Summit Tent,Outdoor,Consumer,5,231.04,1155.2
2025-11-14,East,Brew Kettle,Kitchen,Enterprise,8,41.07,328.56
2025-10-23,East,Nimbus Chair,Home,Consumer,8,199.17,1593.36
2025-12-15,East,Aurora Lamp,Home,Business,11,44.37,488.07
2025-01-12,North,Pulse Headphones,Electronics,Enterprise,5,130.92,654.6
2025-05-10,North,Pulse Headphones,Electronics,Enterprise,9,125.8,1132.2
2025-06-01,East,Pulse Headphones,Electronics,Enterprise,4,129.06,516.24
2025-08-13,South,Pulse Headphones,Electronics,Consumer,3,139.62,418.86
2025-03-27,South,Vector Keyboard,Electronics,Consumer,2,79.52,159.04
2025-11-04,North,Trail Backpack,Outdoor,Consumer,5,87.52,437.6
